#[unix-s]	[s]	[yyyy]	[mm]	[dd]	[HH]	[MM]	[SS]	[deg]	[deg]	[mbar]	[0-1]	[ppb]	[ppb]	[ppm]	[ppm]	[ppb]	[ppb]	[ppt]	[ppt]	[ppb]	[ppb]	[ppm]	[ppb]	[ppb]	[ppt]	[ppt]	[ppm]	[ppb]	[km]	[PVU]	[K]	[km]	[hPa]	[hPa]	[K]	[K]	[km]	[km]	[deg]	[no]	[no]	[no]	[ppmv]	[s]
descriptor \
unitime	TimeCRef	year	month	day	hour	min	sec	lon	lat	p	type	CH4	d_CH4	CO2	d_CO2	N2O	d_N2O	SF6	d_SF6	int_CO	int_O3	int_H2O_gas	int_NO	int_NOy	int_acetone	int_acetonitrile	int_CO2	int_CH4	int_h_rel_TP	int_PV	int_Tpot	int_z_km	int_dp_strop_hpa	int_dp_dtrop_hpa	int_pt_rel_sTP_K	int_pt_rel_dTP_K	int_z_rel_sTP_km	int_z_rel_dTP_km	int_eqlat	flight	canister	standard	cal_MR	dt_analysis_CO2
1161327381	32182	2006	10	20	8	56	21	113.95	21.69	316.66	0	1802.121	3.5700	380.351	0.3092	320.944	0.3834	6.223	0.0521	114.55	54.47	227.48	nan	nan	nan	nan	380.69	nan	nan	0.31	337.79	9.31	215.35	220.34	-37.59	-42.39	-7.15	-7.44	23.96	167	103	1	378.789846	4006349
1161330020	34820	2006	10	20	9	40	20	118.95	18.25	216.30	0	1805.851	3.5774	381.810	0.3104	321.180	0.3836	6.182	0.0518	169.69	61.76	63.12	nan	0.84	nan	nan	380.84	nan	nan	0.42	346.40	11.96	112.84	109.96	-24.81	-22.15	-4.46	-4.31	23.23	167	105	1	378.789846	4014014
1161342636	47436	2006	10	20	13	10	36	115.86	20.71	238.00	0	1795.557	3.5570	381.360	0.3100	321.070	0.3835	6.081	0.0510	91.61	36.24	60.17	nan	0.42	nan	nan	380.02	nan	nan	0.71	344.18	11.32	131.77	136.55	-26.68	-31.62	-4.96	-5.22	27.90	168	108	1	378.789846	4016854
1161358152	62952	2006	10	20	17	29	12	101.59	30.83	280.66	0	1821.038	3.6075	377.226	0.3067	319.759	0.3823	6.140	0.0514	98.32	48.10	481.49	nan	0.25	nan	nan	379.06	nan	nan	0.23	337.77	10.07	188.36	189.41	-61.82	-59.88	-7.06	-7.02	20.51	169	110	1	378.789846	4011642
1161363537	68337	2006	10	20	18	58	57	90.81	37.41	280.45	0	1855.989	3.6767	381.486	0.3101	321.595	0.3840	6.167	0.0517	115.95	74.67	114.96	nan	2.32	nan	nan	381.20	nan	-0.70	0.34	328.10	9.92	107.53	100.35	-15.31	-11.66	-3.06	-2.81	27.29	169	111	1	378.789846	4011409
1161368920	73720	2006	10	20	20	28	40	78.67	43.88	239.98	0	1800.124	3.5660	379.810	0.3088	318.760	0.3814	6.107	0.0512	72.36	91.61	38.41	nan	0.64	nan	nan	380.12	nan	-0.19	1.21	324.96	10.73	40.34	40.14	-11.00	-10.38	-1.18	-1.14	46.39	169	112	1	378.789846	4011178
1161374304	79104	2006	10	20	21	58	24	65.49	49.24	240.29	0	1822.445	3.6103	380.964	0.3097	319.901	0.3824	6.091	0.0510	79.28	76.11	29.11	nan	0.47	nan	nan	380.20	nan	-0.67	0.84	322.27	10.56	38.38	36.08	-9.39	-8.40	-1.08	-1.02	46.26	169	113	1	378.789846	4010946
1161379688	84488	2006	10	20	23	28	8	50.58	51.47	240.28	0	1831.097	3.6274	379.064	0.3082	319.411	0.3820	6.302	0.0528	87.66	49.08	37.85	nan	0.59	nan	nan	380.33	nan	nan	0.45	322.56	10.60	59.34	52.79	-13.28	-9.98	-1.73	-1.52	34.82	169	114	1	378.789846	4010714
1161385082	89882	2006	10	21	0	58	2	34.48	54.76	204.89	0	1801.575	3.5689	379.357	0.3084	320.096	0.3826	6.099	0.0511	77.70	47.28	21.04	nan	0.25	nan	nan	379.89	nan	nan	1.22	326.60	11.62	24.77	21.63	-7.56	-6.25	-0.78	-0.68	43.67	169	115	1	378.789846	4010472
1173227921	92321	2007	3	7	1	38	41	55.28	50.60	222.50	0	1774.278	3.8626	383.027	0.3478	315.165	0.8416	6.011	0.0080	78.07	202.54	nan	nan	0.94	nan	nan	383.00	nan	0.42	4.73	319.63	10.90	-8.94	-9.87	3.97	4.34	0.24	0.26	55.20	182	122	1	378.789846	4149189
1173230461	94861	2007	3	7	2	21	1	63.75	49.59	222.50	0	1793.367	3.9042	386.226	0.3507	316.109	0.8436	6.017	0.0080	57.09	257.55	nan	nan	0.90	nan	nan	381.84	nan	0.62	6.31	324.10	10.85	-22.63	-34.60	9.28	12.72	0.59	0.89	61.90	182	123	1	378.789846	4151807
1173235548	99948	2007	3	7	3	45	48	78.19	44.34	211.98	0	1719.858	3.7441	380.417	0.3454	305.595	0.8205	5.858	0.0078	38.63	408.96	nan	nan	nan	nan	nan	380.52	nan	1.49	6.80	337.14	11.12	-30.78	-51.63	13.61	19.09	0.85	1.37	50.75	182	125	1	378.789846	4157036
1173240631	105031	2007	3	7	5	10	31	90.77	37.39	211.91	0	1713.354	3.7300	380.117	0.3451	300.620	0.8095	5.781	0.0077	34.18	497.92	nan	0.05	1.64	nan	nan	379.98	nan	2.20	7.74	344.92	11.28	-53.08	-56.75	27.79	29.01	1.42	1.51	59.30	182	127	1	378.789846	4162271
1173243173	107574	2007	3	7	5	52	53	96.98	33.74	211.93	0	1776.714	3.8679	386.133	0.3506	319.929	0.8520	6.080	0.0081	59.19	176.71	nan	0.17	0.66	nan	nan	382.17	nan	0.31	4.95	347.69	11.49	-47.53	146.72	16.53	-106.62	1.32	-7.46	34.49	182	128	1	378.789846	4164887
1173245716	110116	2007	3	7	6	35	16	102.83	30.61	211.98	0	1782.895	3.8814	382.982	0.3477	320.363	0.8530	6.100	0.0081	108.23	68.98	nan	0.14	0.45	nan	nan	382.83	nan	-0.98	0.24	354.14	11.69	65.85	144.33	-18.69	-78.21	-2.84	-6.95	12.26	182	129	1	378.789846	4167502
1173248257	112658	2007	3	7	7	17	37	106.91	26.38	211.99	0	1778.236	3.8712	385.304	0.3499	322.069	0.8568	6.127	0.0081	77.71	31.63	nan	0.07	0.14	nan	nan	382.69	nan	nan	0.03	353.38	11.92	89.69	124.37	-26.04	-37.70	-4.19	-5.30	4.36	182	130	1	378.789846	4170119
1173257358	35358	2007	3	7	9	49	18	113.81	21.97	312.99	0	1817.386	3.9564	391.763	0.3557	327.124	0.8679	6.197	0.0082	74.44	31.70	nan	nan	nan	nan	nan	383.70	nan	nan	0.07	344.32	9.42	217.47	224.29	-31.31	-39.67	-7.60	-8.04	9.68	183	131	1	378.789846	4186798
1173270268	48268	2007	3	7	13	24	28	120.21	16.22	291.83	0	1760.653	3.8329	382.905	0.3477	320.660	0.8537	6.096	0.0081	66.50	25.98	nan	nan	nan	nan	nan	383.87	nan	nan	0.04	346.43	9.91	188.16	208.38	-23.38	-39.86	-6.54	-7.71	6.25	184	134	1	378.789846	4189364
1173272921	50921	2007	3	7	14	8	41	116.10	20.51	195.96	0	1769.920	3.8531	386.160	0.3506	323.756	0.8605	6.134	0.0081	64.88	18.06	nan	nan	0.09	nan	nan	383.08	nan	nan	-0.06	355.12	12.57	103.71	109.16	-21.14	-28.08	-4.47	-4.80	-2.47	184	136	1	378.789846	4197029
1173304276	82276	2007	3	7	22	51	16	72.12	47.65	240.25	0	1793.366	3.9042	383.257	0.3480	315.265	0.8418	6.018	0.0080	81.17	178.90	nan	nan	0.78	nan	nan	383.25	nan	0.32	3.99	317.14	10.36	6.11	-6.07	-2.16	1.78	-0.16	0.15	55.67	185	141	1	378.789846	4191448
1173309661	87661	2007	3	8	0	21	1	55.14	50.59	240.25	0	1801.290	3.9214	384.800	0.3494	319.140	0.8503	6.082	0.0081	110.92	87.25	nan	nan	nan	nan	nan	384.96	nan	-0.45	2.76	317.35	10.42	17.77	18.06	-4.56	-4.74	-0.49	-0.50	50.73	185	142	1	378.789846	4191219
1176926185	78985	2007	4	18	21	56	25	18.74	51.72	261.69	0	1765.381	3.4125	384.355	0.3017	312.663	0.6456	5.985	0.0067	89.77	223.32	nan	nan	1.14	nan	nan	384.41	nan	0.35	5.04	328.85	9.83	6.11	-42.11	-1.79	8.50	-0.16	0.91	52.82	186	146	1	378.789846	181407
